,date,open,close,high,low,volume,code
0,2015-01-05,2.14,2.27,2.36,2.11,13658516.0,601398
1,2015-01-06,2.21,2.31,2.57,2.16,14975615.0,601398
2,2015-01-07,2.21,2.25,2.31,2.16,8105967.0,601398
3,2015-01-08,2.26,2.04,2.28,2.01,6920490.0,601398
4,2015-01-09,2.03,2.09,2.36,1.95,9915903.0,601398
5,2015-01-12,2.06,2.03,2.13,1.93,5470374.0,601398
6,2015-01-13,2.0,2.03,2.07,1.99,2685262.0,601398
7,2015-01-14,2.05,2.1,2.18,2.04,5396964.0,601398
8,2015-01-15,2.1,2.3,2.33,2.06,6232084.0,601398
9,2015-01-16,2.33,2.36,2.48,2.31,7868540.0,601398
10,2015-01-19,2.01,1.85,2.14,1.85,9924686.0,601398
11,2015-01-20,1.87,1.85,1.95,1.74,6479209.0,601398
12,2015-01-21,1.89,2.13,2.19,1.85,7928433.0,601398
13,2015-01-22,2.13,2.09,2.14,2.01,5696592.0,601398
14,2015-01-23,2.12,2.19,2.34,2.12,9319396.0,601398
15,2015-01-26,2.18,2.14,2.2,2.05,5326524.0,601398
16,2015-01-27,2.14,1.99,2.14,1.9,7041010.0,601398
17,2015-01-28,1.94,1.9,1.98,1.86,5512967.0,601398
18,2015-01-29,1.82,1.77,1.85,1.74,5775368.0,601398
19,2015-01-30,1.8,1.75,1.83,1.72,4194273.0,601398
20,2015-02-02,1.69,1.62,1.69,1.59,5080241.0,601398
21,2015-02-03,1.66,1.71,1.72,1.58,5615865.0,601398
22,2015-02-04,1.71,1.62,1.74,1.61,4643943.0,601398
23,2015-02-05,1.8,1.61,1.82,1.6,7609649.0,601398
24,2015-02-06,1.58,1.51,1.59,1.48,5037135.0,601398
25,2015-02-09,1.48,1.51,1.55,1.45,4755478.0,601398
26,2015-02-10,1.5,1.57,1.57,1.48,4510464.0,601398
27,2015-02-11,1.52,1.54,1.57,1.51,2963369.0,601398
28,2015-02-12,1.53,1.55,1.56,1.49,2973674.0,601398
29,2015-02-13,1.57,1.65,1.67,1.56,4825030.0,601398
30,2015-02-16,1.64,1.63,1.65,1.6,2371065.0,601398
31,2015-02-17,1.64,1.7,1.73,1.64,3255810.0,601398
32,2015-02-25,1.7,1.7,1.74,1.67,3161083.0,601398
33,2015-02-26,1.68,1.8,1.82,1.67,5011623.0,601398
34,2015-02-27,1.81,1.79,1.83,1.75,3811562.0,601398
35,2015-03-02,1.8,1.78,1.82,1.75,3072297.0,601398
36,2015-03-03,1.75,1.61,1.76,1.61,4399417.0,601398
37,2015-03-04,1.61,1.59,1.64,1.57,2484733.0,601398
38,2015-03-05,1.56,1.52,1.58,1.49,2953411.0,601398
39,2015-03-06,1.53,1.55,1.57,1.51,2195382.0,601398
40,2015-03-09,1.57,1.73,1.77,1.52,5269588.0,601398
41,2015-03-10,1.68,1.63,1.69,1.62,3422440.0,601398
42,2015-03-11,1.64,1.67,1.73,1.64,3189575.0,601398
43,2015-03-12,1.73,1.78,1.86,1.7,6654063.0,601398
44,2015-03-13,1.82,1.78,1.87,1.74,5058807.0,601398
45,2015-03-16,1.8,1.81,1.83,1.76,3917081.0,601398
46,2015-03-17,1.83,1.84,1.85,1.81,4545495.0,601398
47,2015-03-18,1.84,1.94,1.95,1.83,6208597.0,601398
48,2015-03-19,1.94,1.9,1.95,1.88,5179455.0,601398
49,2015-03-20,1.89,1.93,1.99,1.86,5964981.0,601398
50,2015-03-23,1.99,1.99,2.02,1.95,5349612.0,601398
51,2015-03-24,2.02,2.01,2.08,1.96,7775514.0,601398
52,2015-03-25,1.99,1.9,2.02,1.89,6507088.0,601398
53,2015-03-26,1.86,1.93,1.97,1.83,4674255.0,601398
54,2015-03-27,1.94,1.92,1.96,1.88,4540518.3,601398
55,2015-03-30,1.96,2.13,2.15,1.95,11375062.0,601398
56,2015-03-31,2.2,2.07,2.22,2.03,10047476.0,601398
57,2015-04-01,2.04,2.1,2.13,2.03,6824757.0,601398
58,2015-04-02,2.12,2.06,2.13,2.02,5559222.0,601398
59,2015-04-03,2.02,2.08,2.1,2.0,5141818.0,601398
60,2015-04-07,2.14,2.21,2.21,2.11,8617608.0,601398
61,2015-04-08,2.22,2.25,2.26,2.13,8803451.0,601398
62,2015-04-09,2.26,2.24,2.35,2.21,8768798.0,601398
63,2015-04-10,2.22,2.31,2.33,2.21,6893611.0,601398
64,2015-04-13,2.39,2.53,2.54,2.39,12595379.0,601398
65,2015-04-14,2.51,2.47,2.56,2.43,7637214.0,601398
66,2015-04-15,2.47,2.64,2.81,2.46,11358019.0,601398
67,2015-04-16,2.62,2.83,2.84,2.58,9440080.0,601398
68,2015-04-17,2.93,2.85,2.97,2.83,11548089.0,601398
69,2015-04-20,2.9,2.63,2.9,2.61,14141692.0,601398
70,2015-04-21,2.61,2.65,2.66,2.53,12279836.0,601398
71,2015-04-22,2.68,2.73,2.73,2.63,9390308.0,601398
72,2015-04-23,2.74,2.69,2.74,2.64,7720454.0,601398
73,2015-04-24,2.58,2.54,2.61,2.46,7966623.0,601398
74,2015-04-27,2.54,2.71,2.71,2.54,8948649.0,601398
75,2015-04-28,2.74,2.85,3.06,2.7,15395490.0,601398
76,2015-04-29,2.78,2.74,2.79,2.65,7374464.0,601398
77,2015-04-30,2.71,2.62,2.73,2.61,6181688.0,601398
78,2015-05-04,2.6,2.6,2.63,2.57,4358449.0,601398
79,2015-05-05,2.6,2.35,2.6,2.32,7923255.0,601398
80,2015-05-06,2.35,2.34,2.49,2.31,5899041.0,601398
81,2015-05-07,2.34,2.29,2.39,2.28,4401961.0,601398
82,2015-05-08,2.34,2.36,2.38,2.28,3524749.0,601398
83,2015-05-11,2.36,2.41,2.42,2.27,5454729.0,601398
84,2015-05-12,2.43,2.4,2.43,2.34,4470725.0,601398
85,2015-05-13,2.42,2.37,2.45,2.35,4477733.0,601398
86,2015-05-14,2.39,2.34,2.4,2.31,4277949.0,601398
87,2015-05-15,2.33,2.29,2.34,2.24,4599145.0,601398
88,2015-05-18,2.24,2.21,2.28,2.2,3388706.0,601398
89,2015-05-19,2.2,2.35,2.36,2.19,4852376.0,601398
90,2015-05-20,2.35,2.36,2.44,2.32,5022615.0,601398
91,2015-05-21,2.36,2.41,2.45,2.35,4049382.0,601398
92,2015-05-22,2.46,2.54,2.56,2.43,5711107.0,601398
93,2015-05-25,2.56,2.65,2.65,2.56,5078210.0,601398
94,2015-05-26,2.66,2.65,2.68,2.61,4910490.0,601398
95,2015-05-27,2.66,2.58,2.67,2.53,5919549.0,601398
96,2015-05-28,2.57,2.31,2.58,2.28,6858903.0,601398
97,2015-05-29,2.28,2.28,2.35,2.21,5387032.0,601398
98,2015-06-01,2.28,2.44,2.46,2.24,7671787.0,601398
99,2015-06-02,2.42,2.41,2.46,2.35,5191379.0,601398
100,2015-06-03,2.41,2.41,2.45,2.33,4448077.0,601398
101,2015-06-04,2.41,2.55,2.59,2.34,8768897.0,601398
102,2015-06-05,2.62,2.53,2.66,2.44,8747890.0,601398
103,2015-06-08,2.53,2.84,2.85,2.51,17261580.0,601398
104,2015-06-09,2.86,2.73,2.9,2.66,13129097.0,601398
105,2015-06-10,2.65,2.64,2.69,2.62,7455057.0,601398
106,2015-06-11,2.63,2.63,2.67,2.56,4976746.0,601398
107,2015-06-12,2.64,2.65,2.65,2.58,4852188.0,601398
108,2015-06-15,2.66,2.53,2.72,2.52,7002854.0,601398
109,2015-06-16,2.5,2.44,2.58,2.41,5338684.0,601398
110,2015-06-17,2.5,2.5,2.53,2.42,4848570.0,601398
111,2015-06-18,2.47,2.32,2.47,2.28,5059354.0,601398
112,2015-06-19,2.29,2.18,2.35,2.16,5697821.0,601398
113,2015-06-23,2.21,2.39,2.41,2.19,6877079.0,601398
114,2015-06-24,2.39,2.43,2.45,2.34,4850953.0,601398
115,2015-06-25,2.52,2.36,2.55,2.33,5370492.0,601398
116,2015-06-26,2.32,2.19,2.38,2.06,7757870.0,601398
117,2015-06-29,2.25,2.28,2.31,1.91,9188541.0,601398
118,2015-06-30,2.27,2.49,2.5,2.21,9650412.0,601398
119,2015-07-01,2.41,2.35,2.45,2.32,6062180.0,601398
120,2015-07-02,2.36,2.65,2.69,2.24,14326338.0,601398
121,2015-07-03,2.51,2.52,2.65,2.37,11772612.0,601398
122,2015-07-06,2.94,3.0,3.01,2.64,29495823.0,601398
123,2015-07-07,2.946,3.206,3.406,2.826,22484043.0,601398
124,2015-07-08,2.886,2.936,3.286,2.636,29707970.0,601398
125,2015-07-09,2.936,3.046,3.346,2.566,20082182.0,601398
126,2015-07-10,2.866,3.006,3.366,2.776,21162590.0,601398
127,2015-07-13,2.856,2.736,2.876,2.686,14032232.0,601398
128,2015-07-14,2.666,2.616,2.726,2.506,10965126.0,601398
129,2015-07-15,2.576,2.736,2.766,2.566,10602489.0,601398
130,2015-07-16,2.736,2.686,2.836,2.616,7413634.0,601398
131,2015-07-17,2.686,2.676,2.706,2.616,5517754.0,601398
132,2015-07-20,2.646,2.636,2.676,2.606,4959048.0,601398
133,2015-07-21,2.616,2.616,2.656,2.576,4100623.0,601398
134,2015-07-22,2.596,2.586,2.636,2.576,3318398.0,601398
135,2015-07-23,2.576,2.616,2.626,2.566,3781268.0,601398
136,2015-07-24,2.616,2.566,2.626,2.556,4378188.0,601398
137,2015-07-27,2.526,2.286,2.566,2.226,6316108.0,601398
138,2015-07-28,2.226,2.296,2.446,2.186,5980842.0,601398
139,2015-07-29,2.266,2.326,2.356,2.266,3772762.0,601398
140,2015-07-30,2.316,2.256,2.326,2.256,3121664.0,601398
141,2015-07-31,2.236,2.296,2.326,2.206,3067751.0,601398
142,2015-08-03,2.256,2.336,2.356,2.216,4809865.0,601398
143,2015-08-04,2.296,2.336,2.346,2.286,2551716.0,601398
144,2015-08-05,2.316,2.286,2.336,2.286,2251293.0,601398
145,2015-08-06,2.256,2.276,2.316,2.246,1648197.0,601398
146,2015-08-07,2.296,2.306,2.316,2.266,1849984.0,601398
147,2015-08-10,2.296,2.386,2.386,2.266,4349533.0,601398
148,2015-08-11,2.356,2.336,2.366,2.306,3123987.0,601398
149,2015-08-12,2.296,2.266,2.306,2.256,1968379.0,601398
150,2015-08-13,2.256,2.256,2.296,2.206,2033103.0,601398
151,2015-08-14,2.256,2.236,2.266,2.226,1675838.0,601398
152,2015-08-17,2.216,2.176,2.226,2.156,2227514.0,601398
153,2015-08-18,2.176,2.096,2.206,2.096,3236202.0,601398
154,2015-08-19,2.076,2.036,2.116,1.986,3403434.0,601398
155,2015-08-20,2.056,2.016,2.076,2.006,2265574.0,601398
156,2015-08-21,1.986,2.006,2.086,1.986,3916046.0,601398
157,2015-08-24,1.946,1.566,1.946,1.556,5275063.0,601398
158,2015-08-25,1.446,1.356,1.676,1.276,5336077.0,601398
159,2015-08-26,1.436,1.516,1.576,1.276,5961083.0,601398
